area,bedrooms,bathrooms,floors,location,parking,furnishing,property_type,age,price
3674,2,1,3,Gurgaon,1,Unfurnished,Apartment,9,52406700.97510705
1360,1,2,3,Prayagraj,1,Unfurnished,Apartment,26,6277650.233814565
1794,2,1,1,Noida,0,Unfurnished,House,19,19194558.03489284
1630,1,1,2,Mumbai,0,Semi-Furnished,Apartment,8,25324063.092042115
1595,4,2,3,Noida,1,Semi-Furnished,House,16,18632269.554446556
3592,4,2,1,Lucknow,1,Unfurnished,Apartment,26,27444817.885415986
2138,5,4,1,Noida,1,Unfurnished,Apartment,14,24866621.922326162
2669,2,1,1,Prayagraj,1,Furnished,Apartment,1,14343779.065675864
966,5,3,3,Lucknow,0,Furnished,House,29,8915194.200151112
1738,2,2,3,Mumbai,0,Semi-Furnished,House,3,27915129.57910709
830,5,4,2,Delhi,2,Semi-Furnished,Villa,18,14148270.920304185
1982,3,3,3,Jaipur,1,Furnished,House,16,18588029.576505918
2635,3,1,3,Lucknow,2,Unfurnished,Apartment,4,19935554.792415187
3944,3,4,1,Pune,0,Semi-Furnished,Apartment,6,46474834.35113749
3671,3,2,2,Prayagraj,0,Unfurnished,House,17,18785595.632906098
3419,1,3,3,Lucknow,2,Furnished,House,20,24084670.842822954
630,3,2,3,Lucknow,1,Semi-Furnished,House,21,5439901.01014521
2185,4,1,1,Pune,1,Semi-Furnished,Villa,26,26203880.58095089
3880,4,3,1,Mumbai,1,Furnished,Apartment,6,62724722.519892365
1269,1,1,3,Lucknow,1,Semi-Furnished,Villa,16,8971711.196751371
2891,3,1,2,Jaipur,2,Furnished,Villa,6,26424993.097401198
2015,3,4,2,Noida,2,Semi-Furnished,Apartment,3,23941809.355207913
3985,3,2,1,Mumbai,0,Furnished,Apartment,7,62434053.48718736
3353,5,3,1,Jaipur,1,Semi-Furnished,House,12,30892631.190405846
2933,2,1,3,Mumbai,1,Unfurnished,House,3,46381620.20200927
